plot_ID,mean_5yr,sd_5yr,sum_5yr,n_obs_5yr,mean_10yr,sd_10yr,sum_10yr,n_obs_10yr
2312,511.7312073,38.60451296,2558.656036,5,564.4583458,74.4236735,5644.583458,10
2313,718.8393463,83.89931639,3594.196732,5,773.4030457,104.9918438,7734.030457,10
2314,718.8393463,83.89931639,3594.196732,5,773.4030457,104.9918438,7734.030457,10
2315,511.7312073,38.60451296,2558.656036,5,564.4583458,74.4236735,5644.583458,10
2316,511.7312073,38.60451296,2558.656036,5,564.4583458,74.4236735,5644.583458,10
2317,1172.236172,144.8813015,5861.180862,5,1275.215857,163.6166465,12752.15857,10
2318,1207.803513,148.3885772,6039.017563,5,1325.28853,186.7045709,13252.8853,10
2319,1207.803513,148.3885772,6039.017563,5,1325.28853,186.7045709,13252.8853,10
2320,1177.03519,157.156404,5885.175949,5,1303.567662,184.2722139,13035.67662,10
2321,1177.03519,157.156404,5885.175949,5,1303.567662,184.2722139,13035.67662,10
2322,1177.03519,157.156404,5885.175949,5,1303.567662,184.2722139,13035.67662,10
2323,1177.03519,157.156404,5885.175949,5,1303.567662,184.2722139,13035.67662,10
2324,1182.732208,157.8533367,5913.661041,5,1295.155457,182.5626487,12951.55457,10
2325,1182.732208,157.8533367,5913.661041,5,1295.155457,182.5626487,12951.55457,10
2326,1182.732208,157.8533367,5913.661041,5,1295.155457,182.5626487,12951.55457,10
2327,954.8335632,92.27219696,4774.167816,5,990.9870506,93.57318365,9909.870506,10
2328,954.8335632,92.27219696,4774.167816,5,990.9870506,93.57318365,9909.870506,10
2329,954.8335632,92.27219696,4774.167816,5,990.9870506,93.57318365,9909.870506,10
2330,1250.702368,120.5183746,6253.511841,5,1217.962983,114.0370292,12179.62983,10
2331,1222.496381,160.0641307,6112.481903,5,1287.443617,139.4112231,12874.43617,10
